Humidity,Wind Speed (km/h),Pressure (millibars),Apparent Temperature (C)
0.79,13.8299,1005.63,12.75555556
0.84,9.0965,1005.83,13.83888889
0.73,0.644,1005.97,16.18333333
0.67,0.6762,1005.64,17.51666667
0.67,3.864,1005.2,17.38333333
0.71,7.8246,1005.1,17.36111111
0.74,15.5848,1004.65,17.20555556
0.81,23.6992,1004.04,15.63333333
0.9,20.9622,1004.08,13.57777778
0.86,22.3951,1004.61,10.91111111
0.99,26.5006,1004.99,5.294444444
0.93,23.2162,1004.85,5.777777778
0.96,25.4219,1004.96,4.605555556
0.96,28.1267,1005.14,3.722222222
0.96,19.2878,1005.05,4.65
0.96,20.447,1004.8,5.072222222
0.93,27.8691,1004.89,4.372222222
0.82,6.7459,1007,6.183333333
0.93,14.9086,1004.3,5.038888889
0.93,25.0355,1003.68,2.616666667
0.93,19.8352,1003.86,3.222222222
0.93,28.0945,1003.57,1.65
0.93,27.9818,1003.96,1.633333333
0.93,30.8637,1004.1,1.494444444
0.8,32.1678,1004.26,2.688888889
0.86,26.5328,1004.18,3.233333333
0.84,28.336,1004.23,3.544444444
0.77,29.8333,1004.47,5.161111111
0.71,28.4809,1004.52,6.644444444
0.71,28.5131,1004.29,6.55
0.71,25.6956,1003.93,11.06666667
0.76,25.3414,1004,10.11666667
0.66,21.413,1004.3,11.03888889
0.7,17.8549,1004,10.65
0.7,15.1984,1004.39,10.05
0.66,15.7297,1005.48,7.716666667
0.71,12.3648,1005.89,6.816666667
0.72,13.8943,1006.37,5.405555556
0.72,9.8049,1006.56,6.122222222
0.75,6.6654,1007.07,6.211111111
0.75,7.1162,1007.37,6.005555556
0.88,3.7191,1012.23,5.438888889
0.76,14.4739,1007.28,4.55
0.7,20.5275,1007.18,3.161111111
0.73,19.3039,1007.39,2.694444444
0.76,17.4363,1007.67,2.8
0.76,20.4148,1007.98,2.438888889
0.76,17.0499,1008.57,2.922222222
0.71,20.5114,1008.87,3.833333333
0.73,17.6456,1009.44,4.244444444
0.72,14.4095,1010.03,4.816666667
0.7,10.7548,1010.22,6.072222222
0.7,4.8622,1010.39,7.583333333
0.65,2.3828,1010.24,9.077777778
0.62,0.322,1010,9.05
0.65,3.2522,1009.98,9.05
0.65,3.0107,1010.05,9.183333333
0.7,10.465,1010.1,7.455555556
0.75,7.3416,1010.39,6.811111111
0.75,9.5151,1010.91,6.433333333
0.82,9.9981,1011.32,6.127777778
0.83,13.685,1011.61,4.805555556
0.84,11.5437,1011.97,5.183333333
0.85,12.719,1012.22,4.111111111
0.88,12.8961,1012.74,3.411111111
0.88,0.6923,1015.35,8.338888889
0.91,5.5384,1013.29,4.111111111
0.94,5.2003,1013.39,2.566666667
0.93,5.6189,1013.45,3.705555556
0.92,4.7656,1013.4,5.211111111
0.92,7.9212,1013.81,4.638888889
0.87,9.7566,1014.7,6.055555556
0.76,9.6922,1014.67,10.05
0.66,14.49,1014.66,12.2
0.63,20.3343,1014.8,12.7
0.58,23.5865,1014.47,13.93333333
0.59,22.2985,1014.16,15.09444444
0.5,14.7154,1014.07,15.15
0.44,14.49,1013.34,16.17777778
0.55,14.7154,1012.72,16.25
0.5,19.5937,1012.38,16.29444444
0.56,14.8281,1012.38,16.1
0.68,11.9784,1012.72,12.95555556
0.64,11.5598,1013.42,13.85
0.69,14.2485,1014.41,12.77777778
0.72,11.2539,1014.89,12.15
0.81,5.7799,1014.91,10.67777778
0.83,2.6404,1014.75,10.44444444
0.8,5.313,1015.55,9.466666667
0.74,11.3827,1015.7,11.02777778
0.93,3.6547,1016.43,7.138888889
0.89,10.8675,1016.56,5.644444444
0.86,6.5205,1017.15,6.611111111
0.86,11.3988,1017.37,4.855555556
0.84,9.66,1018.25,7.038888889
0.84,15.9551,1019.24,7.383333333
0.72,13.1698,1019.83,12.10555556
0.71,13.1698,1020.51,12.77777778
0.65,9.6761,1020.91,13.81111111
0.48,11.2378,1020.6,16.01666667
0.47,12.7029,1020.39,17.12777778
0.43,10.6099,1020.34,17.14444444
0.4,7.9534,1019.7,17.77777778
0.37,2.5921,1018.89,17.77777778
0.43,11.0124,1018.48,17.80555556
0.52,9.1931,1017.87,16.15555556
0.63,9.1609,1017.56,14.05
0.67,9.2736,1017.38,13.08888889
0.72,9.4507,1017.58,12.28888889
0.66,11.0768,1017.65,12.77777778
0.67,13.3791,1017.36,12.72777778
0.69,14.1358,1016.8,12.26666667
0.71,11.3183,1016.64,11.71111111
0.86,9.177,1013.13,10.82777778
0.59,14.168,1014.79,12.2
0.6,14.2968,1014.25,12.2
0.68,13.8299,1013.95,11.68888889
0.77,14.007,1013.63,11.20555556
0.77,15.4882,1013.27,11.13333333
0.77,13.8782,1013.56,11.43888889
0.81,14.4578,1012.85,13.03333333
0.62,25.0194,1012.15,17.24444444
0.53,27.37,1011.71,17.73888889
0.56,22.218,1011.28,17.84444444
0.56,23.5382,1010.99,18.86111111
0.56,19.8996,1010.93,18.66666667
0.56,17.5007,1010.7,17.82222222
0.59,17.6939,1010.52,17.8
0.57,19.5615,1010.69,17.35
0.67,21.8155,1010.86,16.06666667
0.73,17.2753,1011.14,14.93333333
0.78,11.7691,1011.64,13.92222222
0.84,11.0446,1012.02,12.75555556
0.84,11.0607,1012.21,12.75555556
0.86,7.2933,1012.33,12.37222222
0.93,6.923,1012.6,11.18333333
0.9,11.1734,1012.8,11.66666667
0.95,10.3201,1012.66,7.366666667
0.93,11.1734,1012.32,10.57777778
0.89,14.007,1012.33,10.53333333
0.87,7.2933,1012.55,10.58888889
0.89,6.7298,1012.71,9.283333333
0.86,7.889,1013.01,11.02222222
0.75,11.8657,1013.23,13.53888889
0.68,20.0123,1013.31,13.88888889
0.67,17.5812,1013.4,15
0.57,15.9551,1013.27,17.18333333
0.62,16.3093,1013.02,16.2
0.56,17.7744,1013.03,17.75
0.54,19.0785,1012.55,18.40555556
0.59,17.5973,1012.03,17.82222222
0.57,20.3343,1011.81,17.31111111
0.55,13.7172,1011.33,17.50555556
0.54,14.3773,1011.2,17.26666667
0.61,10.8997,1011.5,15.13888889
0.69,4.7173,1011.76,13.25
0.72,4.669,1012.01,12.29444444
0.79,3.5742,1012.31,10.7
0.85,5.7477,1012.51,9.388888889
0.88,11.27,1012.52,7.861111111
0.92,3.1234,1012.61,8.405555556
0.82,9.6278,1011.27,13.01111111
0.96,3.4293,1012.54,7.733333333
0.96,3.3488,1012.44,6.138888889
0.95,2.9946,1012.62,6.472222222
0.96,3.3005,1012.75,6.627777778
0.93,1.4329,1012.96,8.688888889
0.81,2.415,1013.38,11.99444444
0.78,4.1538,1013.14,13.76666667
0.77,7.3738,1013.33,15.08888889
0.68,7.8085,1013.56,16.45555556
0.62,7.3738,1013.61,17.31111111
0.64,8.372,1013.11,17.87222222
0.47,7.0679,1012.69,19.03888889
0.51,10.8675,1012.2,18.97777778
0.55,4.8139,1011.7,19.00555556
0.53,4.7978,1011.4,19.01111111
0.64,10.9319,1011.32,17.86666667
0.62,10.8514,1011.23,17.26666667
0.61,5.0876,1011.5,16.18888889
0.72,9.177,1012.05,14.88333333
0.75,10.9319,1012.15,14.32777778
0.75,6.3756,1012.09,14.51111111
0.75,6.5366,1011.83,14.37222222
0.72,14.2163,1011.45,14.87777778
0.92,3.6064,1012.05,10.40555556
0.83,8.4364,1011.18,12.82222222
0.85,14.4256,1010.07,12.8
0.86,13.8943,1009.83,12.82777778
0.85,15.778,1009.8,12.26666667
0.85,15.5848,1009.99,12.26666667
0.82,12.3809,1010.21,12.18333333
0.8,20.3826,1010.41,12.17222222
0.83,22.0892,1010.33,12.71111111
0.78,22.3468,1010.43,15.60555556
0.78,18.0642,1010.29,16.02222222
0.67,17.6456,1010.1,17.2
0.71,14.0875,1009.96,17.21666667
0.69,13.4113,1009.86,17.82777778
0.69,14.6188,1009.47,17.82777778
0.69,9.2414,1009.63,17.73333333
0.71,23.0713,1009.39,16.27222222
0.93,3.7674,1011.07,13.16666667
0.93,3.1395,1011.23,13.25555556
0.93,10.3362,1011.35,13.01111111
0.91,5.796,1011.67,12.45555556
0.9,9.8854,1011.76,12.48888889
0.8,6.4883,1015.68,8.85
0.79,14.0231,1015.41,10.62222222
0.93,4.5724,1014.98,8.722222222
0.77,10.7709,1015.18,10.53333333
0.83,6.5366,1014.7,8.705555556
0.83,6.0858,1014.64,9.327777778
0.78,10.7065,1014.31,10.36666667
0.89,10.4972,1014.63,7.233333333
0.84,8.0017,1014.82,8.994444444
0.73,2.4633,1014.82,12.2
0.67,9.3058,1015,13.96111111
0.67,7.1645,1014.9,14.94444444
0.71,11.753,1014.35,16.18333333
0.61,7.1323,1014.51,16.36666667
0.57,3.6225,1014.32,17.37222222
0.51,1.7549,1013.93,17.67222222
0.53,8.6779,1013.45,17.72222222
0.61,2.8336,1013.43,16.23888889
0.71,9.2414,1013.58,14.06666667
0.76,7.4221,1013.24,13.95555556
0.8,3.542,1013.7,12.28888889
0.86,3.1073,1014.14,10.02222222
0.86,6.44,1014.34,8.65
0.9,4.6046,1014.6,9.416666667
0.92,3.0268,1011.68,11.82777778
0.91,5.1681,1011.98,10.76111111
0.95,2.8497,1015.64,12.15555556
0.94,5.7155,1012.26,9.188888889
0.94,6.762,1012.63,7.15
0.95,5.6189,1012.62,10.2
0.99,2.254,1012.85,10.11666667
0.99,0.3381,1013.61,10.16111111
0.98,2.7531,1013.9,11.24444444
0.99,2.254,1014.31,12.24444444
0.92,8.0983,1014.43,13.91111111
0.82,2.2862,1014.73,15.61666667
0.86,3.2844,1014.92,15.07222222
0.82,7.5992,1014.73,15.07222222
0.87,10.5616,1014.92,14.26666667
0.81,6.6654,1014.76,16.01666667
0.86,7.7119,1014.37,15.02777778
0.89,7.2772,1014.83,13.94444444
0.95,11.4793,1015.11,12.91666667
0.95,5.2808,1015.14,12.89444444
0.98,2.3506,1015.5,12.4
0.99,8.05,1015.76,12.26666667
0.96,6.1985,1016.35,12.22222222
0.96,2.7692,1016.38,11.25
0.96,3.1556,1016.43,11.52777778
0.96,5.9892,1016.56,11.53888889
0.96,5.9731,1017.23,8.85
0.96,6.279,1016.17,11.43888889
0.96,6.44,1016.25,11.39444444
0.96,6.4239,1016.13,11.52777778
0.93,4.83,1016.17,11.95
1,9.66,1016.45,11.97222222
0.96,7.6636,1016.94,12.63333333
0.96,7.9695,1017.06,12.75555556
0.9,7.9212,1017.45,13.84444444
0.94,10.3845,1017.77,13.17222222
0.86,8.1466,1017.73,15.06666667
0.75,7.1645,1017.53,17.24444444
0.76,13.3469,1017.31,16.31666667
0.74,13.6206,1016.82,17.38333333
0.76,8.2754,1016.6,15.27222222
0.72,5.2808,1016.39,17.45555556
0.77,11.1573,1016.33,16.22222222
0.82,3.6869,1016.52,15.08333333
0.88,1.1431,1016.81,13.99444444
0.92,0.6601,1017.34,12.17222222
0.95,4.8461,1017.54,11.08888889
0.95,3.381,1017.43,11.09444444
0.96,3.3649,1017.65,9.883333333
0.96,6.4239,1017.56,8.633333333
0.96,3.2361,1016.16,9.861111111
0.99,3.3166,1017.16,8.272222222
0.96,2.6243,1017.15,8.866666667
0.96,3.9445,1017.28,8.816666667
1,1.8515,1017.15,7.155555556
0.99,3.4776,1017.36,8.85
0.93,2.8819,1017.7,11.17777778
0.98,3.4293,1017.72,12.38888889
0.88,4.8783,1017.82,14.14444444
0.72,3.059,1017.77,17.1
0.64,4.2021,1017.3,18.93888889
0.68,4.0894,1016.9,17.91666667
0.53,1.2236,1016.4,19.98333333
0.62,9.0643,1015.9,20.07222222
0.56,9.4829,1015.29,20.07222222
0.58,7.4865,1014.9,20.08333333
0.63,9.1287,1014.68,19.08888889
0.62,7.567,1014.78,17.45
0.74,0.5152,1015.04,15.56666667
0.91,3.9445,1015.51,12.49444444
0.89,1.5295,1015.72,12.24444444
0.92,2.9624,1015.79,11.41666667
0.95,6.0375,1015.83,10.55555556
0.93,3.0751,1015.95,10.46666667
0.95,5.2969,1017.13,10.25
0.96,1.5295,1015.82,9.355555556
0.96,3.22,1015.82,8.311111111
0.96,3.3971,1015.89,8.811111111
0.93,6.3434,1015.83,7.933333333
0.93,11.27,1016.12,11.93333333
0.84,1.7066,1016.23,14.51666667
0.68,3.22,1016.23,18.73333333
0.6,7.245,1016.38,20.02777778
0.55,6.4883,1016.66,21.03888889
0.46,6.5044,1016.58,20.73888889
0.48,7.5348,1016.27,22.31666667
0.5,6.4561,1015.96,22.11111111
0.38,1.0143,1015.34,22.73333333
0.37,5.1842,1014.7,22.77777778
0.41,7.2772,1015.2,21.21666667
0.45,1.4812,1014.87,20.18333333
0.68,0.322,1014.78,18.01111111
0.65,0.5313,1015.54,17.42222222
0.82,0,1016.01,13.96111111
0.89,2.8819,1016.52,13.28888889
0.89,2.4794,1016.96,12.32222222
0.95,3.1717,1017.04,11.11666667
0.95,11.27,1017.33,10.53333333
0.8,4.6207,1019.59,12.38333333
0.96,3.0751,1017.25,9.861111111
0.95,1.5295,1017.42,8.872222222
0.94,3.6386,1017.74,8.672222222
1,0,1018.13,7.688888889
0.99,1.61,1018.62,10.91111111
0.82,2.6565,1019.08,14.83888889
0.65,1.5295,1019.11,18.8
0.49,4.8783,1019.5,21.09444444
0.49,4.2826,1019.86,22.02777778
0.47,3.6225,1019.79,22.82777778
0.37,4.5563,1019.47,22.91666667
0.37,6.2951,1019.25,23.91666667
0.4,2.5599,1018.89,23.91111111
0.37,4.347,1018.6,23.93333333
0.32,1.1753,1018.67,23.91666667
0.44,3.1234,1018.59,22.82222222
0.48,0.4025,1018.67,21.22777778
0.51,2.6887,1019.22,19.07777778
0.63,1.5778,1019.88,17.06111111
0.72,3.7513,1019.91,14.90555556
0.87,3.4132,1020.02,13.08333333
0.89,3.2522,1020.11,12.71111111
0.89,3.1717,1020.12,12.12777778
0.84,4.991,1018.38,11.81111111
0.8,6.2629,1019.91,12.01666667
0.8,6.4239,1020.03,12.04444444
0.86,9.7083,1020.39,10.62777778
0.99,9.1448,1020.6,8.688888889
0.9,7.7441,1020.81,12.55555556
0.78,8.7584,1021.01,15.00555556
0.74,12.1877,1020.94,17.33888889
0.67,12.6224,1020.66,19.1
0.57,9.9176,1020.53,21.26111111
0.54,11.4471,1020.16,22.41111111
0.5,8.5491,1019.95,22.93888889
0.47,11.3022,1019.43,23.92777778
0.47,8.3076,1018.97,23.96111111
0.38,8.5813,1018.28,23.96111111
0.42,10.7065,1017.97,23.11111111
0.44,12.4936,1017.68,22.82222222
0.47,5.2164,1017.89,21.11111111
0.58,4.8622,1017.96,18.18888889
0.72,4.6046,1018.31,16.01666667
0.72,6.44,1018.6,15.46666667
0.76,6.7459,1018.65,14.60555556
0.82,3.542,1018.44,13.31111111
0.83,3.0751,1018.23,12.73333333
0.77,6.0858,1014.58,13.78888889
0.88,6.44,1018.11,10.57777778
0.92,3.22,1017.73,10.48333333
0.91,3.7513,1017.7,10.28888889
0.92,1.5617,1017.62,9.972222222
0.9,2.7048,1017.54,13.63888889
0.74,7.245,1017.7,16.73888889
0.65,3.4132,1017.78,18.83888889
0.59,4.6046,1017.3,21.16111111
0.53,4.4275,1017.19,22.58888889
0.48,7.6636,1016.68,22.89444444
0.47,9.66,1016.08,24.00555556
0.35,8.0017,1015.62,24.00555556
0.44,9.2897,1014.86,23.97777778
0.32,3.5903,1013.97,25.04444444
0.35,4.9588,1013.39,24.07777778
0.45,9.4829,1013.18,22.38333333
0.52,3.6869,1013.21,21.20555556
0.62,6.2146,1013.75,18.26111111
0.67,14.49,1014.13,17.2
0.75,3.1073,1014.13,15.99444444
0.79,12.2843,1014.06,15.96111111
0.72,13.846,1013.92,15.44444444
0.75,10.9963,1013.82,14.37222222
0.9,9.982,1012.67,13.60555556
0.82,6.2468,1013.04,12.82222222
0.83,3.3488,1013.03,12.75
0.92,6.2307,1012.98,11.41666667
0.86,2.4633,1012.83,12.33333333
0.78,10.2879,1013.03,14.90555556
0.74,10.2879,1013.13,15.89444444
0.72,12.0589,1013.13,17.22777778
0.73,7.4704,1013.1,17.82777778
0.72,10.0947,1013.17,17.91666667
0.67,9.0965,1013,19.05555556
0.67,7.5187,1012.69,20.14444444
0.62,3.8962,1012.54,20.26111111
0.62,4.6368,1011.87,21.20555556
0.67,4.8944,1011.19,21.25555556
0.66,7.2128,1011.17,20.23333333
0.71,7.6475,1011.08,19.07777778
0.77,10.5777,1011.28,17.94444444
0.82,20.608,1012.08,15.49444444
0.89,8.4364,1012.64,14.14444444
0.86,11.0768,1012.79,14.53888889
0.86,3.6708,1012.79,14.13888889
0.9,3.5098,1012.56,13.4
0.9,3.3488,1012.8,13.42777778
0.74,5.474,1009.9,11.58888889
0.83,10.7709,1011.91,14.42222222
0.86,10.6904,1011.72,13.91666667
0.9,10.3201,1011.51,13.4
0.9,7.9373,1011.51,13.86666667
0.84,11.27,1011.6,14.90555556
0.74,10.6743,1011.59,15.93333333
0.65,19.8996,1011.41,17.12777778
0.58,19.4166,1011.2,18.75
0.6,17.0499,1011.25,18.96111111
0.54,16.8728,1010.98,19.99444444
0.5,17.3397,1010.48,21.11111111
0.46,21.9604,1010.24,21.09444444
0.43,19.8191,1009.55,21.17777778
0.41,16.4703,1009.04,21.22777778
0.45,13.7977,1008.55,20.1
0.51,9.7888,1008.17,19.02777778
0.59,14.0553,1008.46,17.85
0.66,11.2861,1008.94,16.26111111
0.72,13.9426,1009.55,14.98333333
0.65,11.0285,1009.57,14.46666667
0.6,10.8031,1009.53,13.94444444
0.65,11.1734,1009.56,12.31666667
0.66,10.8997,1009.47,11.76111111
0.62,13.1859,1011.18,10.82777778
0.73,10.948,1009.25,10.13888889
0.71,11.109,1008.87,10.62777778
0.69,13.524,1008.82,10.60555556
0.71,15.5848,1008.84,10.07222222
0.71,21.5257,1009.07,11.16111111
0.67,22.9586,1009.23,12.88888889
0.6,26.4845,1009.25,15.05
0.59,26.726,1009.44,15.16111111
0.56,23.3611,1009.76,16.27222222
0.46,28.0623,1009.34,17.8
0.46,27.9013,1009.14,17.93888889
0.41,25.7439,1009.01,18.85555556
0.43,26.3557,1008.83,17.98888889
0.51,25.0516,1008.43,17.96111111
0.47,25.5668,1008.7,17.36111111
0.52,23.3289,1009.03,16.25
0.47,20.0284,1009.42,14.12222222
0.55,14.9569,1010.18,12.95
0.52,22.9425,1010.85,12.24444444
0.57,19.6581,1011.08,11.68888889
0.59,20.7368,1011.22,11.15555556
0.9,5.8443,1014.24,8.627777778
0.9,5.2486,1014.73,8.2
0.77,12.3165,1013.46,7.3
0.93,6.2951,1014.81,7.788888889
0.93,1.8515,1014.35,7.505555556
0.95,9.6761,1014.42,4.194444444
0.93,0.4347,1014.35,5.855555556
1,0.1449,1014.55,5.933333333
1,0.7245,1014.91,10.40555556
0.78,7.2611,1014.44,12.54444444
0.77,3.8801,1014.52,13.86111111
0.63,4.669,1014.75,15.97777778
0.57,5.474,1014.41,17.26666667
0.5,2.6726,1014.02,17.84444444
0.54,3.9928,1013.55,16.42777778
0.46,1.6744,1013.02,17.77777778
0.45,4.4275,1011.95,17.84444444
0.5,5.6672,1012.11,17.3
0.65,12.7351,1012.13,15.18333333
0.7,3.7191,1012.52,13.00555556
0.74,7.9373,1013.08,12.69444444
0.72,9.7083,1013.35,12.19444444
0.71,16.9855,1013.19,12.08333333
0.74,10.8514,1013.54,10.61666667
0.57,16.9855,1011.68,11.6
0.6,16.9211,1011.79,11.02222222
0.6,15.939,1013.76,11.88888889
0.64,16.6474,1011.39,10.41666667
0.67,13.3952,1011.42,10.3
0.72,13.3791,1011.65,7.5
0.68,12.8317,1011.83,7.933333333
0.67,11.1412,1012.42,10.93333333
0.66,7.1806,1012.96,11.65555556
0.55,21.5579,1012.97,13.93888889
0.54,17.3075,1013.36,15.02777778
0.47,24.5203,1013.41,16.03888889
0.51,20.3665,1013.34,15.22777778
0.44,14.4417,1013.62,16.20555556
0.43,18.0159,1013.28,17.3
0.43,15.8263,1012.98,17.77777778
0.38,17.2431,1012.5,17.8
0.39,16.8728,1012.61,17.26111111
0.38,15.3111,1012.88,17.2
0.45,20.9139,1012.98,15.02222222
0.47,13.3469,1013.73,13.92777778
0.57,9.4346,1014.17,12.36666667
0.59,6.7781,1014.46,12.29444444
0.56,14.4095,1014.45,12.78888889
0.76,7.084,1013.49,8.677777778
0.71,14.4256,1013.41,7.966666667
0.91,1.0143,1015.4,4.911111111
0.78,11.6725,1013.19,5.855555556
0.82,14.6188,1012.8,4.755555556
0.82,11.8496,1013.1,5.894444444
0.84,14.49,1013.14,6.538888889
0.84,23.3289,1013.64,5.555555556
0.89,26.8387,1014.12,4.088888889
0.96,22.7815,1014.48,4.333333333
0.95,14.2163,1014.97,5.35
0.95,9.7727,1015.66,6.233333333
0.94,15.778,1015.89,5.455555556
0.81,11.3183,1015.69,10.22777778
0.74,4.2021,1015.59,11.36111111
0.7,1.3041,1015.24,12.45
0.67,3.6869,1014.77,12.91666667
0.62,6.4078,1014.73,12.55
0.69,9.8049,1014.49,12.38333333
0.75,8.4042,1014.7,10.22777778
0.78,9.5151,1015.38,7.811111111
0.87,7.3738,1015.81,6.622222222
0.91,5.796,1015.89,5.727777778
0.91,6.279,1015.9,4.938888889
0.95,5.8926,1015.92,4.15
0.95,10.9158,1015.89,1.705555556
0.89,3.6386,1007.55,9.272222222
0.92,6.0697,1015.21,2.866666667
0.92,6.0697,1015.18,1.666666667
0.92,5.8926,1014.89,2.516666667
0.96,7.9695,1014.29,0.472222222
1,5.2808,1014.35,2.644444444
0.93,9.1126,1014,5.105555556
0.88,15.6814,1013.53,6.533333333
0.79,20.7046,1013.05,11.20555556
0.7,20.1572,1012.74,12.85
0.63,23.9729,1011.92,13.96111111
0.51,23.9568,1010.87,14.97777778
0.57,22.6849,1009.99,14.02777778
0.51,26.7743,1008.85,15.02222222
0.54,20.8817,1007.74,15.04444444
0.5,17.1948,1007.07,15.08888889
0.51,14.1197,1006.26,14.95
0.59,11.1251,1005.77,13.81666667
0.64,11.6886,1005.19,12.91666667
0.59,14.2324,1004.85,13.83888889
0.69,6.2629,1005.49,12.75555556
0.74,18.1286,1005.64,12.65
0.8,11.3183,1005.45,11.68888889
0.88,6.5527,1005.65,10.62777778
0.91,8.7262,1012.87,3.755555556
0.92,6.6171,1006.34,10.05
0.93,2.5921,1006.47,9.977777778
0.95,5.4579,1007.16,9.377777778
0.99,4.7334,1007.18,8.661111111
0.95,20.3504,1007.86,4.261111111
0.93,13.846,1008.4,4.683333333
0.92,23.6187,1008.86,2.011111111
0.85,22.0892,1009.1,2.233333333
0.82,22.1697,1010.06,2.25
0.86,17.7583,1010.67,2.705555556
0.93,17.4524,1011.06,2.711111111
0.93,22.4595,1011.03,3.205555556
0.86,16.1161,1011.14,4.15
0.93,20.4631,1011.61,2.344444444
0.93,21.1393,1011.86,2.305555556
0.93,20.6885,1011.93,1.055555556
0.92,14.0231,1012.4,1.944444444
0.93,14.9408,1013.23,1.816666667
0.93,11.1251,1013.8,2.438888889
0.93,14.1197,1014.08,1.877777778
0.87,15.939,1013.96,1.538888889
0.92,13.9748,1013.9,1.277777778
0.92,14.329,1014.39,1.194444444
0.83,12.1555,1016.82,1.044444444
0.86,13.7977,1014.18,1.844444444
0.83,10.8836,1014.27,2.35
0.89,13.3952,1014.14,1.277777778
0.86,16.8889,1014.11,1.288888889
0.83,15.3433,1014.41,1.483333333
0.84,18.1769,1014.9,1.244444444
0.65,17.3719,1014.98,4.166666667
0.67,16.261,1014.97,5.022222222
0.64,12.9122,1015.52,6.65
0.57,20.4953,1015.64,6.055555556
0.5,23.2162,1015.72,7.1
0.55,19.2878,1015.47,10.09444444
0.46,14.2646,1015.24,11.06111111
0.42,12.558,1015.14,10.13888889
0.42,9.3541,1015.13,11.01111111
0.49,7.6636,1015.39,10.11666667
0.57,4.4597,1015.7,7.916666667
0.63,2.6243,1016.2,7.333333333
0.75,3.059,1016.83,5.05
0.76,6.2629,1017.12,2.422222222
0.77,6.3434,1017.38,2.583333333
0.82,6.2146,1017.32,2.288888889
0.85,10.2879,1017.42,-0.155555556
0.81,5.635,1018.24,3.938888889
0.85,6.0536,1017.33,0.961111111
0.92,5.9248,1017.53,-0.161111111
0.9,3.2361,1017.7,2.155555556
0.92,1.5939,1017.84,0.955555556
0.92,4.5724,1018.13,0.955555556
0.82,0.2254,1018.47,5.594444444
0.66,14.49,1018.32,7.777777778
0.54,1.6744,1018.59,11.07222222
0.48,6.9391,1018.68,11.05555556
0.43,7.1323,1018.49,12.24444444
0.41,9.1609,1018.38,12.85
0.38,9.5795,1018.35,12.88888889
0.4,9.4829,1017.58,12.91666667
0.46,10.3845,1017.37,13.88888889
0.48,12.2038,1017.37,13.02222222
0.49,12.4453,1017.24,12.38333333
0.57,9.8371,1017.45,10.20555556
0.62,7.6475,1017.83,8.088888889
0.68,9.7405,1018.17,6.1
0.65,6.7459,1018.28,6.672222222
0.69,6.2146,1018.37,6.138888889
0.74,6.4078,1018.39,4.783333333
0.76,6.601,1018.49,4.077777778
0.72,13.3791,1015.16,5.988888889
0.82,6.6332,1018.18,2.194444444
0.91,3.4776,1018.29,2.244444444
0.93,6.2307,1018.28,0.227777778
0.92,10.7065,1018.08,-0.866666667
0.89,10.7226,1018.6,0.911111111
0.79,11.8979,1018.66,3.638888889
0.66,11.4793,1018.38,10.00555556
0.52,17.8066,1018.46,12.24444444
0.5,19.6259,1018.34,12.93888889
0.5,20.6241,1017.86,13.98333333
0.44,16.0839,1017.26,15.09444444
0.43,14.7798,1016.76,16.25
